,2 clusters,3 clusters,4 clusters,5 clusters
Silhouette,0.104153732045121,0.092635388510276,0.132289143391377,0.127916412674431
Correlación,-0.048181171721549,-0.161051158037435,-0.235467091418671,-0.280171893700548
