,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters
Silhouette,0.560652101095176,0.582242951601288,0.587948576169653,0.450815853077329,0.448290618770067,0.45506175110425,0.459387557302891
Correlación,-0.715742293670155,-0.777465459336351,-0.812573476616071,-0.682075463451238,-0.685135542172264,-0.685004670128326,-0.68826805912352
