DecisionTree,Knn,Svm
0.651868964368964,0.582671217671218,0.731486846486846
0.708333333333333,0.633333333333333,0.658333333333333
0.737047163362953,0.727802460697198,0.769565960355434
0.835942587136722,0.838619107660042,0.779377140075045
0.680011606750737,0.678389484911224,0.626452726017943
0.864397759103642,0.87844537815126,0.869864612511671
0.970833333333333,0.977777777777778,0.983333333333333
0.946705426356589,0.935228531158764,0.95589952682976
0.893024475524476,0.921827894327894,0.953131313131313
0.878730311723171,0.94734170013865,0.965313415076786
