DecisionTree,Knn,Svm
0.6218653568653568,0.557994782994783,0.7391791541791541
0.7083333333333334,0.6333333333333334,0.6333333333333334
0.7018284347231716,0.7213773069036227,0.7669685577580314
0.8298423121370788,0.8444754765233767,0.85985142528998
0.6963335215509129,0.6406622121839514,0.6595410628019324
0.8647152194211017,0.8300000000000001,0.8783613445378151
0.9708333333333334,0.9777777777777779,0.9833333333333334
0.9353417899929528,0.9352285311587638,0.9535739454344105
0.9132167832167832,0.8960703185703185,0.953131313131313
0.9605340281196341,0.9319622596931536,0.9632995725554243
