DecisionTree,Knn,SVM
0.634444721944722,0.588385503385503,0.701560106560106
0.708333333333333,0.608333333333333,0.766666666666667
0.718745727956254,0.727802460697198,0.765652768284347
0.827085975731549,0.859809684909617,0.427141323422408
0.677577326055587,0.666299956082565,0.45815358554489
0.875989729225023,0.881302521008403,0.84437441643324
0.970833333333333,0.977777777777778,0.977777777777778
0.94226819691936,0.930574851505084,0.94680861773885
0.913216783216783,0.898857808857809,0.733422688422688
0.933222365790926,0.94065140900697,0.950590416758222
