DecisionTree,knn,SVM
0.8125,0.6875,0.8125
1,0.5,1
0.7586,0.741379310344828,0.75
0.8235,0.941176470588235,0.941176470588235
0.8181,0.757575757575758,0.727272727272727
0.849,0.905660377358491,0.867924528301887
0.923,0.961538461538462,1
0.9242,0.909090909090909,0.96969696969697
1,1,1
0.9288,0.96,0.96
